06/08/2023 - 08:31:55 PM	Кэлт(Joining/Connecting) connected from the server
06/08/2023 - 08:31:58 PM	Шурик(Joining/Connecting) connected from the server
06/08/2023 - 08:32:02 PM	vadimhalo(Joining/Connecting) connected from the server
06/08/2023 - 08:32:04 PM	Azzeti(Joining/Connecting) connected from the server
06/08/2023 - 08:32:04 PM	nonrp(Joining/Connecting) connected from the server
06/08/2023 - 08:32:05 PM	Кэлт(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:06 PM	Кэлт(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:06 PM	Шурик(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:08 PM	❤ Konsuni ❤(Joining/Connecting) connected from the server
06/08/2023 - 08:32:08 PM	Шурик(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:10 PM	♥schitrelz♥(Joining/Connecting) connected from the server
06/08/2023 - 08:32:12 PM	Сэр Яйцо(Joining/Connecting) connected from the server
06/08/2023 - 08:32:14 PM	vadimhalo(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:15 PM	Филя Кочевник(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:16 PM	Кэлт(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:17 PM	Шурик(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:17 PM	vadimhalo(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:17 PM	vadimhalo(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:18 PM	Филя Кочевник(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:21 PM	Филя Кочевник(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:22 PM	nonrp(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:23 PM	squadron(Joining/Connecting) connected from the server
06/08/2023 - 08:32:23 PM	[KILL] ♥schitrelz♥(Гражданин) killed himself
06/08/2023 - 08:32:23 PM	Me6oK(Joining/Connecting) connected from the server
06/08/2023 - 08:32:23 PM	[KILL] Шурик(Гражданин) killed himself
06/08/2023 - 08:32:25 PM	nonrp(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:26 PM	nonrp(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:26 PM	Сэр Яйцо(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:26 PM	Кэлт(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:27 PM	Шурик(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:27 PM	❤ Konsuni ❤(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:27 PM	vadimhalo(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:28 PM	♥schitrelz♥(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:28 PM	Сэр Яйцо(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:29 PM	Сэр Яйцо(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:30 PM	nonrp(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:30 PM	❤ Konsuni ❤(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:30 PM	❤ Konsuni ❤(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:30 PM	Assassinkz(Joining/Connecting) connected from the server
06/08/2023 - 08:32:31 PM	Филя Кочевник(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:31 PM	♥schitrelz♥(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:31 PM	♥schitrelz♥(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:31 PM	♥schitrelz♥(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:33 PM	❤ Konsuni ❤(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:35 PM	Я не Shapka(Joining/Connecting) connected from the server
06/08/2023 - 08:32:36 PM	Сэр Яйцо(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:36 PM	Кэлт(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:37 PM	Шурик(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:37 PM	vadimhalo(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:39 PM	♥schitrelz♥(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:40 PM	nonrp(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:41 PM	Филя Кочевник(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:43 PM	❤ Konsuni ❤(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:45 PM	Me6oK(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:46 PM	Сэр Яйцо(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:46 PM	Кэлт(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:47 PM	Шурик(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:47 PM	vadimhalo(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:48 PM	Me6oK(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:49 PM	Me6oK(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:49 PM	Me6oK(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:49 PM	Me6oK(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:49 PM	♥schitrelz♥(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:50 PM	nonrp(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:51 PM	Филя Кочевник(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:51 PM	Me6oK(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:53 PM	❤ Konsuni ❤(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:56 PM	Сэр Яйцо(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:56 PM	Кэлт(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:56 PM	Garry Huffan(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:57 PM	Шурик(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:57 PM	vadimhalo(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:59 PM	♥schitrelz♥(Гражданин) entered 'discs_request'
06/08/2023 - 08:32:59 PM	💀 SCP-173 💀(UA)(Joining/Connecting) connected from the server
06/08/2023 - 08:33:00 PM	Garry Huffan(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:00 PM	nonrp(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:00 PM	Garry Huffan(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:00 PM	Garry Huffan(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:00 PM	Garry Huffan(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:01 PM	Филя Кочевник(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:01 PM	Me6oK(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:03 PM	❤ Konsuni ❤(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:06 PM	Сэр Яйцо(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:06 PM	Кэлт(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:07 PM	Шурик(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:07 PM	Garry Huffan(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:07 PM	vadimhalo(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:09 PM	♥schitrelz♥(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:10 PM	nonrp(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:11 PM	Филя Кочевник(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:11 PM	Me6oK(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:12 PM	Кэлт(Гражданин) said '/adminucnit1'
06/08/2023 - 08:33:12 PM	Кэлт(UNIT.1) changed his team from 'Гражданин' to 'UNIT.1'
06/08/2023 - 08:33:13 PM	кирилл буданов(Joining/Connecting) connected from the server
06/08/2023 - 08:33:13 PM	❤ Konsuni ❤(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:16 PM	Сэр Яйцо(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:16 PM	Кэлт(UNIT.1) entered 'discs_request'
06/08/2023 - 08:33:17 PM	Шурик(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:17 PM	Assassinkz(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:17 PM	Garry Huffan(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:17 PM	Кэлт(UNIT.1) said '// ура я мусор'
06/08/2023 - 08:33:17 PM	vadimhalo(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:19 PM	♥schitrelz♥(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:20 PM	nonrp(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:21 PM	Assassinkz(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:21 PM	Филя Кочевник(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:21 PM	Me6oK(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:21 PM	Assassinkz(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:21 PM	Assassinkz(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:21 PM	Assassinkz(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:21 PM	Assassinkz(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:21 PM	Assassinkz(Гражданин) entered 'discs_request'
06/08/2023 - 08:33:23 PM	❤ Konsuni ❤(Гражданин) entered 'discs_request'
