12/08/2023 - 12:56:49 PM	Total Devastation(Joining/Connecting) connected from the server
12/08/2023 - 12:56:52 PM	Я не Shapka(Joining/Connecting) connected from the server
12/08/2023 - 12:56:57 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 12:56:59 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 12:57:05 PM	Total Devastation(Гражданин) said '/spectate'
12/08/2023 - 12:57:06 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:06 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:07 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:07 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 12:57:07 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:08 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:08 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:09 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:10 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:10 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:10 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:11 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:11 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:12 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:12 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:13 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:13 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:14 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:14 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:15 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:15 PM	Total Devastation(Гражданин) entered 'FTPToPos'
12/08/2023 - 12:57:15 PM	Total Devastation(Гражданин) entered 'FSpectate_StopSpectating'
12/08/2023 - 12:57:17 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 12:57:22 PM	Total Devastation(Гражданин) said '/spectate'
12/08/2023 - 12:57:23 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:23 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:24 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:24 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:25 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:25 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:26 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:26 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:27 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 12:57:27 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:27 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:28 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:28 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:29 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:29 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:30 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:31 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:31 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:31 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:32 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:32 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:33 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:33 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:34 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:34 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:35 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:35 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 12:57:36 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:36 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
